;0;1;2;3;4;5;6;7;8
0;175.74740941115599;127.8957502988254;79.54390079666302;48.91625437926636;241.9146370976613;194.47496128172074;146.17201425192502;97.99408743858939;49.07838916884716
1;164.90852870339768;119.64150504942293;74.10449617211864;45.872510299374184;230.4333294890407;185.0091983514085;139.15349216998703;92.96803266019737;46.56006327954923
2;162.827523895404;118.07573452222779;73.060957395157;45.34433181100772;227.76777471154483;182.86172077803286;137.53400539919684;91.88418278981617;46.017055577759336
3;159.4706699647881;115.5502742784646;71.37803082281711;44.49246392288399;223.46905793430398;179.39889449656403;134.92280738389343;90.13674609371493;45.141637860917726
4;156.11984596478686;113.02969393525181;69.69863641555662;43.64228538645635;219.17934655669535;175.94380389413666;132.31773556390462;88.3935580573198;44.26840619602467
5;155.71753076988094;112.72708507495726;69.49703596866009;43.54021949818126;218.66438852308065;175.5290701188744;132.00505392937106;88.18433664026259;44.163602835520756
6;155.31530259088825;112.42454675878122;69.29548683626042;43.43817788299252;218.1495596685061;175.11444729163946;131.69246014976076;87.9751761532566;44.05883083682028
7;154.70203328141196;111.9632824429412;68.98820381919138;43.2826012651994;217.36464442797666;174.4823208497774;131.21589343770066;87.65630341179691;43.89910374913665
8;154.08896614777828;111.50218212751804;68.6810402793928;43.12708097795777;216.58002884830125;173.8504517798112;130.7395305290636;87.33757201845654;43.73944942515639
9;153.59090143840535;111.12758631454243;68.43150961635793;43.00073770529445;215.94262558367768;173.33714799443888;130.3525605786046;87.07865655271542;43.6097586778997
10;153.09297041269977;110.75309899552896;68.18205811406317;42.87443162249128;215.30542004402142;172.82401401071942;129.9657250770067;86.8198343314248;43.48011593594261
11;150.38693937863223;108.71806949765958;66.82661847319432;42.188071266704036;211.84295370779185;170.03591601920027;127.86397853042286;85.4136643206177;42.77579531221637
12;147.68486829029354;106.6862593435024;65.4735394714478;41.50280761630324;208.38630899027163;167.2528165500003;125.76618931628045;84.01023883343602;42.07288815707658
13;146.45122189374703;105.75870645571366;64.8559131438299;41.189976083869716;206.8084009443925;165.98247520219488;124.80871956907038;83.36972172476594;41.75209749883935
14;145.2184051377239;104.83182960317077;64.23878584673017;40.87737292393812;205.23170267567804;164.71317230378241;123.85207181737894;82.7297746874879;41.43160057111546
15;143.55434098828454;103.58080921618038;63.405919208792874;40.45544691134051;203.1036955825112;163.00014667588718;122.56106154577778;81.8661887209153;40.99911438810524
16;141.98911633878006;102.42793026232277;62.57477869473262;40.03445217954994;200.97853867825245;161.28953402454536;121.27194210060175;81.00390476771206;40.567295563138046
17;142.59198636506144;102.8811186773481;62.876430657736336;40.18729190308442;201.74933757901337;161.9099639401837;121.73949083695896;81.31664112654113;40.723907516550646
18;143.19505663232505;103.33447063584047;63.17820431709143;40.34018638466801;202.52042589177074;162.53064219080753;122.20723609859117;81.62951377431143;40.880589727298435
19;144.34242193657494;104.22094468347017;63.800199712037575;40.60694621127516;203.86282443454326;163.61122816447894;123.0215928143177;82.17424525253504;41.15338849047509
20;145.39237208207504;105.01031524804951;64.3257291975095;40.873151812456044;205.20542319138184;164.69202030154602;123.83613236652535;82.71911319640627;41.42626147791205
21;149.21277908388063;107.882881902856;66.23846332620354;41.84189271441121;210.0915870519945;168.62577721543934;126.80105079871555;84.70255234664533;42.41962956908174
22;153.0427152704633;110.76306168547936;68.15665635214089;42.81327779121691;215.2856421843647;172.67290313837344;129.87594496035547;86.69459579113631;43.4173871531776
23;156.17516182873428;113.11909973072052;69.72612567798707;43.60786598156142;219.2946462518327;175.9013674110417;132.3098976729615;88.32307415872685;44.23310144916259
24;159.31417439975226;115.48054741038791;71.39559437612604;44.40430642262895;223.40945012593707;179.13811873497733;134.75035720675515;89.95603805139044;45.0511141411084
25;165.67837895189342;120.26888049542958;74.58682498480408;46.01936612515373;231.46297757633354;185.70314164436076;139.70105978361056;93.26905903678863;46.710883584929576
26;172.06552021291833;125.0756328375394;77.79120333912624;47.64089020193779;239.74559033080328;192.2995328015459;144.67649151998475;96.59917353752988;48.37942259609153
27;176.16196958827345;128.08682076707558;79.79895397063221;48.656882927260845;244.9767286934178;196.535223363507;147.8965422818876;98.78760367388749;49.52544991492698
28;180.07032213965374;131.1015555022941;81.80970476681634;49.77149298733284;249.9126812382646;200.57209023340664;150.91770809140306;100.7772585688809;50.473116965759466
29;184.2395677479832;134.24075144757086;83.9035361108636;50.830930206112015;255.1647041061073;204.88427662375636;154.17170006398194;102.9559313139224;51.5650024306934
30;188.21809145215528;137.18820006877445;85.80488349753557;51.79337993403852;260.5297999620947;209.30764334649012;157.43634755458663;105.14197323157023;52.660665679629346
31;190.1883537810462;138.6720604047365;86.7948493232513;52.294215618157025;262.85791938410375;211.1467524299942;158.87385514152396;106.17060050234363;53.176249184876426
32;192.16242498347148;140.1588569344186;87.78678943847713;52.796127800996715;265.3935198301841;213.19188529217942;160.4175918484377;107.20447604294591;53.69448441419258
33;192.8214494033914;140.65523195910893;88.1179679654951;52.96370142072495;266.2401270631317;213.87476950131727;160.93307970186876;107.54972167123876;53.867544638366546
34;193.4807110839432;141.15179691956496;88.44928014213383;53.131342982055685;267.08710036384457;214.55796821319794;161.44881666610053;107.89514000692681;54.04069350836323
35;193.40780019969063;141.09687888746808;88.41263804557188;53.1128023295488;266.99342653933667;214.48240663692127;161.39177573387698;107.85693616635864;54.02154285436056
36;193.33584160937843;141.04265990624404;88.3764361113877;53.09452629001188;267.0042402593266;214.510793612834;161.43785483213742;107.92072780708028;54.003802427627434
